"crime","neighbourhood","incidents","year"
"Deprivation of Freedom","Argyle Park",0,2014
"Gaming&Betting","Argyle Park",10,2014
"HWY Traffic Violation","Argyle Park",108,2014
"Impaired Operation","Argyle Park",16,2014
"Mischief","Argyle Park",30,2014
"Municipal ByLaws","Argyle Park",2,2014
"Offensive Weapons","Argyle Park",13,2014
"Other Crminal Code Traffic","Argyle Park",7,2014
"Other Federal Statute Violations","Argyle Park",1,2014
"Other Theft Over","Argyle Park",2,2014
"Other Theft Under","Argyle Park",26,2014
"OtherCriminalCode (A)","Argyle Park",44,2014
"OtherCriminalCode (B)","Argyle Park",7,2014
"Prostitution","Argyle Park",0,2014
"Provincial Statutes","Argyle Park",10,2014
"Sexual Assault","Argyle Park",3,2014
"Shoplift Over","Argyle Park",5,2014
"Shoplift Under","Argyle Park",88,2014
"Special Inq(8510-8640)","Argyle Park",140,2014
"Special Inq(8660-8814)","Argyle Park",121,2014
"Theft From Auto Over","Argyle Park",7,2014
"Theft From Auto Under","Argyle Park",18,2014
"Theft of Motor Vehicle VA, VT","Argyle Park",12,2014
"Theft of Other Vehicle VM, VO","Argyle Park",4,2014
"Violation Causing Death","Argyle Park",2,2014
"Violence/Threat","Argyle Park",175,2014
"Total","Argyle Park",582,2014
"Arson","Boothill",0,2014
"Assault","Boothill",3,2014
"Attempt Murder","Boothill",0,2014
"B&E (Business)","Boothill",1,2014
"B&E (Garage)","Boothill",13,2014
"B&E (Other)","Boothill",1,2014
"B&E (Residence)","Boothill",5,2014
"B&E Motor Vehicle Firearms","Boothill",0,2014
"Controlled Drugs","Boothill",2,2014
"Crimes Against Property(2150-2166)","Boothill",5,2014
"Dangerous Operation","Boothill",0,2014
"Deprivation of Freedom","Boothill",0,2014
"Gaming&Betting","Boothill",0,2014
"HWY Traffic Violation","Boothill",11,2014
"Impaired Operation","Boothill",4,2014
"Mischief","Boothill",18,2014
"Municipal ByLaws","Boothill",1,2014
"Offensive Weapons","Boothill",0,2014
"Other Crminal Code Traffic","Boothill",2,2014
"Other Federal Statute Violations","Boothill",0,2014
"Other Theft Over","Boothill",0,2014
"Other Theft Under","Boothill",6,2014
"OtherCriminalCode (A)","Boothill",8,2014
"OtherCriminalCode (B)","Boothill",0,2014
"Prostitution","Boothill",0,2014
"Provincial Statutes","Boothill",3,2014
"Sexual Assault","Boothill",1,2014
"Shoplift Over","Boothill",0,2014
"Shoplift Under","Boothill",9,2014
"Special Inq(8510-8640)","Boothill",71,2014
"Special Inq(8660-8814)","Boothill",51,2014
"Theft From Auto Over","Boothill",6,2014
"Theft From Auto Under","Boothill",18,2014
"Theft of Motor Vehicle VA, VT","Boothill",14,2014
"Theft of Other Vehicle VM, VO","Boothill",3,2014
"Violation Causing Death","Boothill",0,2014
"Violence/Threat","Boothill",62,2014
"Total","Boothill",196,2014
"Arson","Cathedral",6,2014
"Assault","Cathedral",52,2014
"Attempt Murder","Cathedral",1,2014
"B&E (Business)","Cathedral",6,2014
"B&E (Garage)","Cathedral",22,2014
"B&E (Other)","Cathedral",6,2014
"B&E (Residence)","Cathedral",37,2014
"B&E Motor Vehicle Firearms","Cathedral",1,2014
"Controlled Drugs","Cathedral",20,2014
"Crimes Against Property(2150-2166)","Cathedral",27,2014
"Dangerous Operation","Cathedral",19,2014
"Deprivation of Freedom","Cathedral",0,2014
"Gaming&Betting","Cathedral",9,2014
"HWY Traffic Violation","Cathedral",122,2014
"Impaired Operation","Cathedral",44,2014
"Mischief","Cathedral",80,2014
"Municipal ByLaws","Cathedral",7,2014
"Offensive Weapons","Cathedral",12,2014
"Other Crminal Code Traffic","Cathedral",24,2014
"Other Federal Statute Violations","Cathedral",5,2014
"Other Theft Over","Cathedral",4,2014
"Other Theft Under","Cathedral",83,2014
"OtherCriminalCode (A)","Cathedral",74,2014
"OtherCriminalCode (B)","Cathedral",7,2014
"Prostitution","Cathedral",5,2014
"Provincial Statutes","Cathedral",84,2014
"Sexual Assault","Cathedral",8,2014
"Shoplift Over","Cathedral",1,2014
"Shoplift Under","Cathedral",54,2014
"Special Inq(8510-8640)","Cathedral",398,2014
"Special Inq(8660-8814)","Cathedral",313,2014
"Theft From Auto Over","Cathedral",11,2014
"Theft From Auto Under","Cathedral",47,2014
"Theft of Motor Vehicle VA, VT","Cathedral",38,2014
"Theft of Other Vehicle VM, VO","Cathedral",10,2014
"Violation Causing Death","Cathedral",3,2014
"Violence/Threat","Cathedral",364,2014
"Total","Cathedral",1294,2014
"Arson","Centre Square",2,2014
"Assault","Centre Square",30,2014
"Attempt Murder","Centre Square",0,2014
"B&E (Business)","Centre Square",9,2014
"B&E (Garage)","Centre Square",1,2014
"B&E (Other)","Centre Square",1,2014
"B&E (Residence)","Centre Square",14,2014
"B&E Motor Vehicle Firearms","Centre Square",1,2014
"Controlled Drugs","Centre Square",14,2014
"Crimes Against Property(2150-2166)","Centre Square",13,2014
"Dangerous Operation","Centre Square",0,2014
"Deprivation of Freedom","Centre Square",2,2014
"Gaming&Betting","Centre Square",10,2014
"HWY Traffic Violation","Centre Square",66,2014
"Impaired Operation","Centre Square",14,2014
"Mischief","Centre Square",61,2014
"Municipal ByLaws","Centre Square",2,2014
"Offensive Weapons","Centre Square",2,2014
"Other Crminal Code Traffic","Centre Square",9,2014
"Other Federal Statute Violations","Centre Square",6,2014
"Other Theft Over","Centre Square",5,2014
"Other Theft Under","Centre Square",50,2014
"OtherCriminalCode (A)","Centre Square",40,2014
"OtherCriminalCode (B)","Centre Square",5,2014
"Prostitution","Centre Square",8,2014
"Provincial Statutes","Centre Square",79,2014
"Sexual Assault","Centre Square",1,2014
"Shoplift Over","Centre Square",1,2014
"Shoplift Under","Centre Square",30,2014
"Special Inq(8510-8640)","Centre Square",204,2014
"Special Inq(8660-8814)","Centre Square",132,2014
"Theft From Auto Over","Centre Square",6,2014
"Theft From Auto Under","Centre Square",30,2014
"Theft of Motor Vehicle VA, VT","Centre Square",24,2014
"Theft of Other Vehicle VM, VO","Centre Square",1,2014
"Violation Causing Death","Centre Square",3,2014
"Violence/Threat","Centre Square",218,2014
"Total","Centre Square",684,2014
"Arson","Core Group",19,2014
"Assault","Core Group",168,2014
"Attempt Murder","Core Group",0,2014
"B&E (Business)","Core Group",10,2014
"B&E (Garage)","Core Group",13,2014
"B&E (Other)","Core Group",6,2014
"B&E (Residence)","Core Group",49,2014
"B&E Motor Vehicle Firearms","Core Group",6,2014
"Controlled Drugs","Core Group",52,2014
"Crimes Against Property(2150-2166)","Core Group",70,2014
"Dangerous Operation","Core Group",10,2014
"Deprivation of Freedom","Core Group",4,2014
"Gaming&Betting","Core Group",12,2014
"HWY Traffic Violation","Core Group",169,2014
"Impaired Operation","Core Group",65,2014
"Mischief","Core Group",150,2014
"Municipal ByLaws","Core Group",6,2014
"Offensive Weapons","Core Group",28,2014
"Other Crminal Code Traffic","Core Group",46,2014
"Other Federal Statute Violations","Core Group",132,2014
"Other Theft Over","Core Group",13,2014
"Other Theft Under","Core Group",150,2014
"OtherCriminalCode (A)","Core Group",551,2014
"OtherCriminalCode (B)","Core Group",10,2014
"Prostitution","Core Group",83,2014
"Provincial Statutes","Core Group",663,2014
"Sexual Assault","Core Group",13,2014
"Shoplift Over","Core Group",2,2014
"Shoplift Under","Core Group",139,2014
"Special Inq(8510-8640)","Core Group",1292,2014
"Special Inq(8660-8814)","Core Group",415,2014
"Theft From Auto Over","Core Group",12,2014
"Theft From Auto Under","Core Group",93,2014
"Theft of Motor Vehicle VA, VT","Core Group",51,2014
"Theft of Other Vehicle VM, VO","Core Group",9,2014
"Violation Causing Death","Core Group",7,2014
"Violence/Threat","Core Group",1179,2014
"Total","Core Group",3417,2014
"Arson","Coronation Park",13,2014
"Assault","Coronation Park",56,2014
"Attempt Murder","Coronation Park",0,2014
"B&E (Business)","Coronation Park",10,2014
"B&E (Garage)","Coronation Park",15,2014
"B&E (Other)","Coronation Park",6,2014
"B&E (Residence)","Coronation Park",16,2014
"B&E Motor Vehicle Firearms","Coronation Park",2,2014
"Controlled Drugs","Coronation Park",26,2014
"Crimes Against Property(2150-2166)","Coronation Park",27,2014
"Dangerous Operation","Coronation Park",11,2014
"Deprivation of Freedom","Coronation Park",1,2014
"Gaming&Betting","Coronation Park",20,2014
"HWY Traffic Violation","Coronation Park",146,2014
"Impaired Operation","Coronation Park",65,2014
"Mischief","Coronation Park",73,2014
"Municipal ByLaws","Coronation Park",2,2014
"Offensive Weapons","Coronation Park",16,2014
"Other Crminal Code Traffic","Coronation Park",26,2014
"Other Federal Statute Violations","Coronation Park",9,2014
"Other Theft Over","Coronation Park",3,2014
"Other Theft Under","Coronation Park",67,2014
"OtherCriminalCode (A)","Coronation Park",90,2014
"OtherCriminalCode (B)","Coronation Park",14,2014
"Prostitution","Coronation Park",6,2014
"Provincial Statutes","Coronation Park",61,2014
"Sexual Assault","Coronation Park",2,2014
"Shoplift Over","Coronation Park",9,2014
"Shoplift Under","Coronation Park",104,2014
"Special Inq(8510-8640)","Coronation Park",428,2014
"Special Inq(8660-8814)","Coronation Park",404,2014
"Theft From Auto Over","Coronation Park",3,2014
"Theft From Auto Under","Coronation Park",82,2014
"Theft of Motor Vehicle VA, VT","Coronation Park",51,2014
"Theft of Other Vehicle VM, VO","Coronation Park",6,2014
"Violation Causing Death","Coronation Park",7,2014
"Violence/Threat","Coronation Park",453,2014
"Total","Coronation Park",1452,2014
"Arson","Dewdney East",12,2014
"Assault","Dewdney East",83,2014
"Attempt Murder","Dewdney East",0,2014
"B&E (Business)","Dewdney East",5,2014
"B&E (Garage)","Dewdney East",13,2014
"B&E (Other)","Dewdney East",14,2014
"B&E (Residence)","Dewdney East",30,2014
"B&E Motor Vehicle Firearms","Dewdney East",1,2014
"Controlled Drugs","Dewdney East",43,2014
"Crimes Against Property(2150-2166)","Dewdney East",48,2014
"Dangerous Operation","Dewdney East",4,2014
"Deprivation of Freedom","Dewdney East",4,2014
"Gaming&Betting","Dewdney East",12,2014
"HWY Traffic Violation","Dewdney East",168,2014
"Impaired Operation","Dewdney East",50,2014
"Mischief","Dewdney East",191,2014
"Municipal ByLaws","Dewdney East",7,2014
"Offensive Weapons","Dewdney East",14,2014
"Other Crminal Code Traffic","Dewdney East",41,2014
"Other Federal Statute Violations","Dewdney East",13,2014
"Other Theft Over","Dewdney East",12,2014
"Other Theft Under","Dewdney East",128,2014
"OtherCriminalCode (A)","Dewdney East",115,2014
"OtherCriminalCode (B)","Dewdney East",14,2014
"Prostitution","Dewdney East",5,2014
"Provincial Statutes","Dewdney East",92,2014
"Sexual Assault","Dewdney East",13,2014
"Shoplift Over","Dewdney East",1,2014
"Shoplift Under","Dewdney East",70,2014
"Special Inq(8510-8640)","Dewdney East",668,2014
"Special Inq(8660-8814)","Dewdney East",457,2014
"Theft From Auto Over","Dewdney East",11,2014
"Theft From Auto Under","Dewdney East",87,2014
"Theft of Motor Vehicle VA, VT","Dewdney East",53,2014
"Theft of Other Vehicle VM, VO","Dewdney East",4,2014
"Violation Causing Death","Dewdney East",5,2014
"Violence/Threat","Dewdney East",592,2014
"Total","Dewdney East",1962,2014
"Arson","Dieppe",2,2014
"Assault","Dieppe",17,2014
"Attempt Murder","Dieppe",0,2014
"B&E (Business)","Dieppe",1,2014
"B&E (Garage)","Dieppe",11,2014
"B&E (Other)","Dieppe",0,2014
"B&E (Residence)","Dieppe",4,2014
"B&E Motor Vehicle Firearms","Dieppe",2,2014
"Controlled Drugs","Dieppe",5,2014
"Crimes Against Property(2150-2166)","Dieppe",5,2014
"Dangerous Operation","Dieppe",3,2014
"Deprivation of Freedom","Dieppe",0,2014
"Gaming&Betting","Dieppe",1,2014
"HWY Traffic Violation","Dieppe",17,2014
"Impaired Operation","Dieppe",3,2014
"Mischief","Dieppe",5,2014
"Municipal ByLaws","Dieppe",0,2014
"Offensive Weapons","Dieppe",0,2014
"Other Crminal Code Traffic","Dieppe",5,2014
"Other Federal Statute Violations","Dieppe",0,2014
"Other Theft Over","Dieppe",0,2014
"Other Theft Under","Dieppe",5,2014
"OtherCriminalCode (A)","Dieppe",7,2014
"OtherCriminalCode (B)","Dieppe",1,2014
"Prostitution","Dieppe",0,2014
"Provincial Statutes","Dieppe",7,2014
"Sexual Assault","Dieppe",2,2014
"Shoplift Over","Dieppe",0,2014
"Shoplift Under","Dieppe",7,2014
"Special Inq(8510-8640)","Dieppe",74,2014
"Special Inq(8660-8814)","Dieppe",57,2014
"Theft From Auto Over","Dieppe",6,2014
"Theft From Auto Under","Dieppe",13,2014
"Theft of Motor Vehicle VA, VT","Dieppe",5,2014
"Theft of Other Vehicle VM, VO","Dieppe",1,2014
"Violation Causing Death","Dieppe",2,2014
"Violence/Threat","Dieppe",83,2014
"Total","Dieppe",195,2014
"Arson","Eastview",6,2014
"Assault","Eastview",30,2014
"Attempt Murder","Eastview",1,2014
"B&E (Business)","Eastview",33,2014
"B&E (Garage)","Eastview",14,2014
"B&E (Other)","Eastview",15,2014
"B&E (Residence)","Eastview",16,2014
"B&E Motor Vehicle Firearms","Eastview",1,2014
"Controlled Drugs","Eastview",8,2014
"Crimes Against Property(2150-2166)","Eastview",17,2014
"Dangerous Operation","Eastview",6,2014
"Deprivation of Freedom","Eastview",0,2014
"Gaming&Betting","Eastview",11,2014
"HWY Traffic Violation","Eastview",90,2014
"Impaired Operation","Eastview",25,2014
"Mischief","Eastview",60,2014
"Municipal ByLaws","Eastview",4,2014
"Offensive Weapons","Eastview",6,2014
"Other Crminal Code Traffic","Eastview",12,2014
"Other Federal Statute Violations","Eastview",4,2014
"Other Theft Over","Eastview",3,2014
"Other Theft Under","Eastview",38,2014
"OtherCriminalCode (A)","Eastview",36,2014
"OtherCriminalCode (B)","Eastview",2,2014
"Prostitution","Eastview",0,2014
"Provincial Statutes","Eastview",16,2014
"Sexual Assault","Eastview",7,2014
"Shoplift Over","Eastview",0,2014
"Shoplift Under","Eastview",13,2014
"Special Inq(8510-8640)","Eastview",174,2014
"Special Inq(8660-8814)","Eastview",248,2014
"Theft From Auto Over","Eastview",9,2014
"Theft From Auto Under","Eastview",43,2014
"Theft of Motor Vehicle VA, VT","Eastview",28,2014
"Theft of Other Vehicle VM, VO","Eastview",8,2014
"Violation Causing Death","Eastview",2,2014
"Violence/Threat","Eastview",233,2014
"Total","Eastview",765,2014
"Arson","Gardiner Park",0,2014
"Assault","Gardiner Park",21,2014
"Attempt Murder","Gardiner Park",1,2014
"B&E (Business)","Gardiner Park",14,2014
"B&E (Garage)","Gardiner Park",7,2014
"B&E (Other)","Gardiner Park",18,2014
"B&E (Residence)","Gardiner Park",42,2014
"B&E Motor Vehicle Firearms","Gardiner Park",1,2014
"Controlled Drugs","Gardiner Park",16,2014
"Crimes Against Property(2150-2166)","Gardiner Park",52,2014
"Dangerous Operation","Gardiner Park",3,2014
"Deprivation of Freedom","Gardiner Park",0,2014
"Gaming&Betting","Gardiner Park",24,2014
"HWY Traffic Violation","Gardiner Park",251,2014
"Impaired Operation","Gardiner Park",16,2014
"Mischief","Gardiner Park",82,2014
"Municipal ByLaws","Gardiner Park",10,2014
"Offensive Weapons","Gardiner Park",2,2014
"Other Crminal Code Traffic","Gardiner Park",16,2014
"Other Federal Statute Violations","Gardiner Park",3,2014
"Other Theft Over","Gardiner Park",15,2014
"Other Theft Under","Gardiner Park",140,2014
"OtherCriminalCode (A)","Gardiner Park",66,2014
"OtherCriminalCode (B)","Gardiner Park",4,2014
"Prostitution","Gardiner Park",3,2014
"Provincial Statutes","Gardiner Park",51,2014
"Sexual Assault","Gardiner Park",0,2014
"Shoplift Over","Gardiner Park",17,2014
"Shoplift Under","Gardiner Park",232,2014
"Special Inq(8510-8640)","Gardiner Park",255,2014
"Special Inq(8660-8814)","Gardiner Park",222,2014
"Theft From Auto Over","Gardiner Park",12,2014
"Theft From Auto Under","Gardiner Park",76,2014
"Theft of Motor Vehicle VA, VT","Gardiner Park",33,2014
"Theft of Other Vehicle VM, VO","Gardiner Park",8,2014
"Violation Causing Death","Gardiner Park",0,2014
"Violence/Threat","Gardiner Park",422,2014
"Total","Gardiner Park",1305,2014
"Arson","Gladmer Park",1,2014
"Assault","Gladmer Park",10,2014
"Attempt Murder","Gladmer Park",0,2014
"B&E (Business)","Gladmer Park",1,2014
"B&E (Garage)","Gladmer Park",3,2014
"B&E (Other)","Gladmer Park",0,2014
"B&E (Residence)","Gladmer Park",5,2014
"B&E Motor Vehicle Firearms","Gladmer Park",1,2014
"Controlled Drugs","Gladmer Park",7,2014
"Crimes Against Property(2150-2166)","Gladmer Park",11,2014
"Dangerous Operation","Gladmer Park",0,2014
"Deprivation of Freedom","Gladmer Park",0,2014
"Gaming&Betting","Gladmer Park",7,2014
"HWY Traffic Violation","Gladmer Park",16,2014
"Impaired Operation","Gladmer Park",5,2014
"Mischief","Gladmer Park",14,2014
"Municipal ByLaws","Gladmer Park",0,2014
"Offensive Weapons","Gladmer Park",3,2014
"Other Crminal Code Traffic","Gladmer Park",6,2014
"Other Federal Statute Violations","Gladmer Park",4,2014
"Other Theft Over","Gladmer Park",2,2014
"Other Theft Under","Gladmer Park",21,2014
"OtherCriminalCode (A)","Gladmer Park",14,2014
"OtherCriminalCode (B)","Gladmer Park",0,2014
"Prostitution","Gladmer Park",2,2014
"Provincial Statutes","Gladmer Park",41,2014
"Sexual Assault","Gladmer Park",1,2014
"Shoplift Over","Gladmer Park",2,2014
"Shoplift Under","Gladmer Park",65,2014
"Special Inq(8510-8640)","Gladmer Park",79,2014
"Special Inq(8660-8814)","Gladmer Park",39,2014
"Theft From Auto Over","Gladmer Park",3,2014
"Theft From Auto Under","Gladmer Park",10,2014
"Theft of Motor Vehicle VA, VT","Gladmer Park",6,2014
"Theft of Other Vehicle VM, VO","Gladmer Park",1,2014
"Violation Causing Death","Gladmer Park",2,2014
"Violence/Threat","Gladmer Park",113,2014
"Total","Gladmer Park",273,2014
"Arson","Hillsdale",3,2014
"Assault","Hillsdale",27,2014
"Attempt Murder","Hillsdale",0,2014
"B&E (Business)","Hillsdale",3,2014
"B&E (Garage)","Hillsdale",8,2014
"B&E (Other)","Hillsdale",2,2014
"B&E (Residence)","Hillsdale",16,2014
"B&E Motor Vehicle Firearms","Hillsdale",0,2014
"Controlled Drugs","Hillsdale",13,2014
"Crimes Against Property(2150-2166)","Hillsdale",16,2014
"Dangerous Operation","Hillsdale",2,2014
"Deprivation of Freedom","Hillsdale",0,2014
"Gaming&Betting","Hillsdale",12,2014
"HWY Traffic Violation","Hillsdale",92,2014
"Impaired Operation","Hillsdale",26,2014
"Mischief","Hillsdale",82,2014
"Municipal ByLaws","Hillsdale",1,2014
"Offensive Weapons","Hillsdale",3,2014
"Other Crminal Code Traffic","Hillsdale",11,2014
"Other Federal Statute Violations","Hillsdale",2,2014
"Other Theft Over","Hillsdale",6,2014
"Other Theft Under","Hillsdale",55,2014
"OtherCriminalCode (A)","Hillsdale",37,2014
"OtherCriminalCode (B)","Hillsdale",6,2014
"Prostitution","Hillsdale",9,2014
"Provincial Statutes","Hillsdale",55,2014
"Sexual Assault","Hillsdale",3,2014
"Shoplift Over","Hillsdale",1,2014
"Shoplift Under","Hillsdale",32,2014
"Special Inq(8510-8640)","Hillsdale",220,2014
"Special Inq(8660-8814)","Hillsdale",141,2014
"Theft From Auto Over","Hillsdale",6,2014
"Theft From Auto Under","Hillsdale",52,2014
"Theft of Motor Vehicle VA, VT","Hillsdale",20,2014
"Theft of Other Vehicle VM, VO","Hillsdale",2,2014
"Violation Causing Death","Hillsdale",1,2014
"Violence/Threat","Hillsdale",236,2014
"Total","Hillsdale",761,2014
"Arson","Lakeview",2,2014
"Assault","Lakeview",30,2014
"Attempt Murder","Lakeview",0,2014
"B&E (Business)","Lakeview",1,2014
"B&E (Garage)","Lakeview",30,2014
"B&E (Other)","Lakeview",4,2014
"B&E (Residence)","Lakeview",33,2014
"B&E Motor Vehicle Firearms","Lakeview",4,2014
"Controlled Drugs","Lakeview",21,2014
"Crimes Against Property(2150-2166)","Lakeview",22,2014
"Dangerous Operation","Lakeview",6,2014
"Deprivation of Freedom","Lakeview",0,2014
"Gaming&Betting","Lakeview",4,2014
"HWY Traffic Violation","Lakeview",77,2014
"Impaired Operation","Lakeview",27,2014
"Mischief","Lakeview",90,2014
"Municipal ByLaws","Lakeview",6,2014
"Offensive Weapons","Lakeview",4,2014
"Other Crminal Code Traffic","Lakeview",16,2014
"Other Federal Statute Violations","Lakeview",3,2014
"Other Theft Over","Lakeview",5,2014
"Other Theft Under","Lakeview",32,2014
"OtherCriminalCode (A)","Lakeview",47,2014
"OtherCriminalCode (B)","Lakeview",7,2014
"Prostitution","Lakeview",3,2014
"Provincial Statutes","Lakeview",44,2014
"Sexual Assault","Lakeview",2,2014
"Shoplift Over","Lakeview",0,2014
"Shoplift Under","Lakeview",17,2014
"Special Inq(8510-8640)","Lakeview",242,2014
"Special Inq(8660-8814)","Lakeview",226,2014
"Theft From Auto Over","Lakeview",9,2014
"Theft From Auto Under","Lakeview",69,2014
"Theft of Motor Vehicle VA, VT","Lakeview",30,2014
"Theft of Other Vehicle VM, VO","Lakeview",0,2014
"Violation Causing Death","Lakeview",2,2014
"Violence/Threat","Lakeview",276,2014
"Total","Lakeview",849,2014
"Arson","Market Square",5,2014
"Assault","Market Square",72,2014
"Attempt Murder","Market Square",0,2014
"B&E (Business)","Market Square",1,2014
"B&E (Garage)","Market Square",0,2014
"B&E (Other)","Market Square",2,2014
"B&E (Residence)","Market Square",1,2014
"B&E Motor Vehicle Firearms","Market Square",0,2014
"Controlled Drugs","Market Square",31,2014
"Crimes Against Property(2150-2166)","Market Square",46,2014
"Dangerous Operation","Market Square",6,2014
"Deprivation of Freedom","Market Square",0,2014
"Gaming&Betting","Market Square",14,2014
"HWY Traffic Violation","Market Square",139,2014
"Impaired Operation","Market Square",26,2014
"Mischief","Market Square",85,2014
"Municipal ByLaws","Market Square",14,2014
"Offensive Weapons","Market Square",21,2014
"Other Crminal Code Traffic","Market Square",30,2014
"Other Federal Statute Violations","Market Square",63,2014
"Other Theft Over","Market Square",6,2014
"Other Theft Under","Market Square",285,2014
"OtherCriminalCode (A)","Market Square",2592,2014
"OtherCriminalCode (B)","Market Square",39,2014
"Prostitution","Market Square",89,2014
"Provincial Statutes","Market Square",1028,2014
"Sexual Assault","Market Square",2,2014
"Shoplift Over","Market Square",5,2014
"Shoplift Under","Market Square",132,2014
"Special Inq(8510-8640)","Market Square",393,2014
"Special Inq(8660-8814)","Market Square",291,2014
"Theft From Auto Over","Market Square",2,2014
"Theft From Auto Under","Market Square",40,2014
"Theft of Motor Vehicle VA, VT","Market Square",21,2014
"Theft of Other Vehicle VM, VO","Market Square",2,2014
"Violation Causing Death","Market Square",8,2014
"Violence/Threat","Market Square",1403,2014
"Total","Market Square",4126,2014
"Arson","McNab",2,2014
"Assault","McNab",22,2014
"Attempt Murder","McNab",0,2014
"B&E (Business)","McNab",1,2014
"B&E (Garage)","McNab",5,2014
"B&E (Other)","McNab",2,2014
"B&E (Residence)","McNab",9,2014
"B&E Motor Vehicle Firearms","McNab",0,2014
"Controlled Drugs","McNab",9,2014
"Crimes Against Property(2150-2166)","McNab",6,2014
"Dangerous Operation","McNab",2,2014
"Deprivation of Freedom","McNab",1,2014
"Gaming&Betting","McNab",2,2014
"HWY Traffic Violation","McNab",23,2014
"Impaired Operation","McNab",2,2014
"Mischief","McNab",19,2014
"Municipal ByLaws","McNab",0,2014
"Offensive Weapons","McNab",2,2014
"Other Crminal Code Traffic","McNab",4,2014
"Other Federal Statute Violations","McNab",1,2014
"Other Theft Over","McNab",1,2014
"Other Theft Under","McNab",10,2014
"OtherCriminalCode (A)","McNab",11,2014
"OtherCriminalCode (B)","McNab",2,2014
"Prostitution","McNab",1,2014
"Provincial Statutes","McNab",11,2014
